AMU,neon1,neon2,neon3
37,3.1E-10,3.32E-10,7.52E-10
37.1,3.39E-10,5.93E-10,7.38E-10
37.2,3.41E-10,5.91E-10,6.98E-10
37.3,3.7E-10,4.47E-10,6.48E-10
37.4,3.76E-10,1.72E-10,6.57E-10
37.5,4.05E-10,2.2E-10,6.2E-10
37.6,6.16E-10,3.01E-10,7.45E-10
37.7,7.96E-10,6.93E-10,9.78E-10
37.8,8.58E-10,8.24E-10,1.15E-09
37.9,9.88E-10,9.39E-10,1.29E-09
38,1.09E-09,9.24E-10,1.42E-09
38.1,1.07E-09,9.77E-10,1.57E-09
38.2,1.11E-09,0.000000001,1.5E-09
38.3,1.17E-09,9.74E-10,1.32E-09
38.4,1.08E-09,7.01E-10,1.04E-09
38.5,8.07E-10,6.18E-10,8.51E-10
38.6,7.06E-10,6.22E-10,9.71E-10
38.7,7.56E-10,7.74E-10,1.17E-09
38.8,9.23E-10,9.88E-10,1.49E-09
38.9,1.26E-09,1.35E-09,1.93E-09
39,1.68E-09,2.01E-09,2.65E-09
39.1,2.4E-09,2.87E-09,3.63E-09
39.2,3.6E-09,4.65E-09,5.41E-09
39.3,6.17E-09,8.63E-09,9.61E-09
39.4,1.32E-08,2.51E-08,2.71E-08
39.5,5.62E-08,0.000000135,0.000000147
39.6,0.000000221,0.000000244,0.00000026
39.7,0.000000334,0.000000318,0.00000033
39.8,0.000000405,0.000000361,0.000000372
39.9,0.000000474,0.000000429,0.000000443
40,0.000000535,0.000000426,0.000000448
40.1,0.000000534,0.000000424,0.000000446
40.2,0.000000491,0.000000358,0.000000379
40.3,0.000000426,0.000000158,0.000000162
40.4,9.24E-08,2.08E-08,2.15E-08
40.5,1.47E-08,7.53E-09,8.17E-09
40.6,6.24E-09,4.58E-09,5.95E-09
40.7,4.2E-09,3.94E-09,6.16E-09
40.8,3.79E-09,4.03E-09,7.02E-09
40.9,3.99E-09,4.47E-09,8.07E-09
41,4.5E-09,4.91E-09,0.000000009
41.1,4.94E-09,5.05E-09,9.54E-09
41.2,5.13E-09,5.01E-09,9.45E-09
41.3,5.07E-09,4.43E-09,8.13E-09
41.4,4.17E-09,2.88E-09,4.89E-09
41.5,2.46E-09,1.72E-09,2.89E-09
41.6,1.63E-09,1.44E-09,2.44E-09
41.7,1.55E-09,1.64E-09,2.64E-09
41.8,1.83E-09,1.91E-09,3.02E-09
41.9,2.26E-09,2.2E-09,3.61E-09
42,2.56E-09,2.58E-09,4.12E-09
42.1,2.98E-09,2.91E-09,4.49E-09
42.2,3.28E-09,3.01E-09,4.69E-09
42.3,3.32E-09,2.87E-09,4.46E-09
42.4,0.000000003,2.2E-09,3.25E-09
42.5,2.11E-09,1.68E-09,2.41E-09
42.6,1.72E-09,1.92E-09,2.84E-09
42.7,2.06E-09,2.6E-09,4.03E-09
42.8,2.83E-09,3.42E-09,5.42E-09
42.9,3.78E-09,4.34E-09,6.8E-09
43,5.07E-09,5.59E-09,8.6E-09
43.1,6.5E-09,6.88E-09,1.03E-08
43.2,8.17E-09,8.42E-09,1.25E-08
43.3,1.03E-08,1.08E-08,1.55E-08
43.4,1.43E-08,1.69E-08,2.42E-08
43.5,2.91E-08,7.39E-08,0.00000011
43.6,0.000000148,0.000000183,0.00000025
43.7,0.000000269,0.000000254,0.000000344
43.8,0.00000036,0.000000287,0.000000385
43.9,0.0000004,0.000000343,0.000000464
44,0.000000476,0.000000366,0.000000495
44.1,0.000000493,0.000000382,0.000000522
44.2,0.000000509,0.000000322,0.000000433
44.3,0.000000429,0.000000226,0.000000294
44.4,0.000000217,3.74E-08,4.32E-08
44.5,2.83E-08,1.04E-08,1.14E-08
44.6,9.23E-09,6.02E-09,7.51E-09
44.7,6.2E-09,5.13E-09,7.58E-09
44.8,6.08E-09,5.38E-09,8.83E-09
44.9,6.8E-09,6.05E-09,1.03E-08
45,7.78E-09,6.91E-09,1.19E-08
45.1,8.79E-09,7.54E-09,1.29E-08
45.2,9.51E-09,7.59E-09,1.29E-08
45.3,9.29E-09,6.88E-09,1.15E-08
45.4,7.98E-09,4.41E-09,6.77E-09
45.5,4.79E-09,3.14E-09,4.14E-09
45.6,3.95E-09,3.81E-09,4.31E-09
45.7,5.44E-09,5.33E-09,5.41E-09
45.8,8.02E-09,7.09E-09,7.01E-09
45.9,1.04E-08,8.63E-09,8.46E-09
46,1.25E-08,1.02E-08,9.89E-09
46.1,1.43E-08,1.14E-08,1.09E-08
46.2,1.54E-08,1.15E-08,0.000000011
46.3,1.48E-08,9.96E-09,9.71E-09
46.4,1.24E-08,5.8E-09,5.79E-09
46.5,6.3E-09,3.04E-09,3.11E-09
46.6,3.24E-09,1.81E-09,1.89E-09
46.7,1.94E-09,1.2E-09,1.36E-09
46.8,1.34E-09,9.64E-10,1.08E-09
46.9,1.11E-09,8.86E-10,9.87E-10
