Sep 24, 2019  04:10:16 PM
Residual Gas Analyzer Software 
Software Version, 3.005

Analog Scan Setup:

Data Points in Scan, 641 
Units, Torr 
Noise Floor, 0 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 65, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.78E-004 
Filament Current, 1.00, mAmps


 50.40,   1.05E-010, 
 50.50,   1.21E-010, 
 50.60,   1.21E-010, 
 50.70,   1.09E-010, 
 50.80,   1.19E-010, 
 50.90,   9.37E-011, 
 51.00,   8.69E-011, 
 51.10,   1.96E-010, 
 51.20,   2.52E-010, 
 51.30,   1.77E-010, 
 51.40,   1.21E-010, 
 51.50,   1.08E-010, 
 51.60,   1.17E-010, 
 51.70,   1.14E-010, 
 51.80,   1.08E-010, 
 51.90,   1.02E-010, 
 52.00,   1.54E-010, 
 52.10,   1.73E-010, 
 52.20,   1.69E-010, 
 52.30,   1.26E-010, 
 52.40,   9.37E-011, 
 52.50,   9.03E-011, 
 52.60,   8.64E-011, 
 52.70,   1.32E-010, 
 52.80,   1.17E-010, 
 52.90,   1.39E-010, 
 53.00,   1.49E-010, 
 53.10,   1.37E-010, 
 53.20,   1.20E-010, 
 53.30,   1.35E-010, 
 53.40,   1.23E-010, 
 53.50,   1.00E-010, 
 53.60,   9.03E-011, 
 53.70,   9.48E-011, 
 53.80,   8.08E-011, 
 53.90,   8.75E-011, 
 54.00,   1.08E-010, 
 54.10,   9.42E-011, 
 54.20,   1.10E-010, 
 54.30,   1.15E-010, 
 54.40,   1.33E-010, 
 54.50,   1.04E-010, 
 54.60,   8.19E-011, 
 54.70,   8.97E-011, 
 54.80,   8.58E-011, 
 54.90,   1.62E-010, 
 55.00,   2.56E-010, 
 55.10,   1.30E-010, 
 55.20,   1.27E-010, 
 55.30,   1.25E-010, 
 55.40,   1.28E-010, 
 55.50,   1.53E-010, 
 55.60,   2.02E-010, 
 55.70,   1.74E-010, 
 55.80,   1.56E-010, 
 55.90,   2.47E-010, 
 56.00,   2.00E-010, 
 56.10,   1.29E-010, 
 56.20,   2.16E-010, 
 56.30,   1.25E-010, 
 56.40,   1.42E-010, 
 56.50,   1.16E-010, 
 56.60,   9.59E-011, 
 56.70,   1.20E-010, 
 56.80,   1.34E-010, 
 56.90,   2.25E-010, 
 57.00,   1.70E-010, 
 57.10,   1.50E-010, 
 57.20,   2.27E-010, 
 57.30,   2.74E-010, 
 57.40,   1.45E-010, 
 57.50,   1.28E-010, 
 57.60,   1.03E-010, 
 57.70,   9.31E-011, 
 57.80,   1.19E-010, 
 57.90,   1.46E-010, 
 58.00,   1.48E-010, 
 58.10,   1.12E-010, 
 58.20,   1.59E-010, 
 58.30,   2.41E-010, 
 58.40,   2.22E-010, 
 58.50,   9.20E-011, 
 58.60,   5.66E-011, 
 58.70,   0.00E+000, 
 58.80,   1.79E-011, 
 58.90,   6.45E-011, 
 59.00,   6.67E-011, 
 59.10,   7.63E-011, 
 59.20,   6.23E-011, 
 59.30,   6.06E-011, 
 59.40,   1.09E-010, 
 59.50,   9.03E-011, 
 59.60,   8.02E-011, 
 59.70,   6.73E-011, 
 59.80,   7.63E-011, 
 59.90,   8.58E-011, 
 60.00,   6.84E-011, 
 60.10,   1.16E-010, 
 60.20,   1.14E-010, 
 60.30,   1.07E-010, 
 60.40,   8.24E-011, 
 60.50,   3.76E-011, 
 60.60,   4.43E-011, 
 60.70,   4.99E-011, 
 60.80,   2.30E-011, 
 60.90,   7.68E-011, 
 61.00,   1.10E-010, 
 61.10,   1.00E-010, 
 61.20,   1.27E-010, 
 61.30,   1.33E-010, 
 61.40,   1.22E-010, 
 61.50,   9.09E-011, 
 61.60,   1.00E-010, 
 61.70,   9.53E-011, 
 61.80,   7.57E-011, 
 61.90,   9.20E-011, 
 62.00,   8.08E-011, 
 62.10,   8.92E-011, 
 62.20,   9.31E-011, 
 62.30,   6.23E-011, 
 62.40,   8.69E-011, 
 62.50,   6.23E-011, 
 62.60,   3.08E-011, 
 62.70,   6.95E-011, 
 62.80,   9.65E-011, 
 62.90,   1.21E-010, 
 63.00,   1.21E-010, 
 63.10,   1.07E-010, 
 63.20,   1.32E-010, 
 63.30,   1.31E-010, 
 63.40,   1.48E-010, 
 63.50,   1.32E-010, 
 63.60,   8.92E-011, 
 63.70,   1.28E-010, 
 63.80,   1.42E-010, 
 63.90,   1.29E-010, 
 64.00,   1.32E-010, 
 64.10,   1.60E-010, 
 64.20,   1.26E-010, 
 64.30,   1.36E-010, 
 64.40,   1.23E-010, 
 64.50,   1.25E-010, 
 64.60,   1.01E-010, 
 64.70,   5.66E-011, 
 64.80,   8.81E-011, 
 64.90,   6.73E-011, 
 65.00,   4.21E-011, 
