Sep 24, 2019  04:04:58 PM
Residual Gas Analyzer Software 
Software Version, 3.005

vacuum = 10^-5

Analog Scan Setup:

Data Points in Scan, 641 
Units, Torr 
Noise Floor, 2 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 65, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.78E-004 
Filament Current, 1.00, mAmps


 37.90,   1.18E-010, 
 38.00,   1.10E-010, 
 38.10,   1.15E-010, 
 38.20,   1.36E-010, 
 38.30,   1.55E-010, 
 38.40,   5.27E-011, 
 38.50,   4.49E-011, 
 38.60,   1.13E-010, 
 38.70,   1.32E-010, 
 38.80,   1.89E-010, 
 38.90,   2.14E-010, 
 39.00,   2.54E-010, 
 39.10,   4.69E-010, 
 39.20,   5.03E-010, 
 39.30,   9.98E-011, 
 39.40,   2.30E-011, 
 39.50,   1.58E-010, 
 39.60,   5.63E-010, 
 39.70,   8.89E-010, 
 39.80,   1.04E-009, 
 39.90,   1.19E-009, 
 40.00,   1.37E-009, 
 40.10,   1.50E-009, 
 40.20,   1.56E-009, 
 40.30,   1.42E-009, 
 40.40,   9.02E-010, 
 40.50,   6.34E-010, 
 40.60,   4.03E-010, 
 40.70,   2.08E-010, 
 40.80,   6.98E-010, 
 40.90,   7.59E-010, 
 41.00,   7.55E-010, 
 41.10,   7.80E-010, 
 41.20,   8.24E-010, 
 41.30,   8.34E-010, 
 41.40,   6.39E-010, 
 41.50,   3.90E-010, 
 41.60,   8.13E-011, 
 41.70,   2.96E-010, 
 41.80,   6.88E-010, 
 41.90,   7.81E-010, 
 42.00,   9.26E-010, 
 42.10,   1.01E-009, 
 42.20,   1.09E-009, 
 42.30,   1.04E-009, 
 42.40,   8.09E-010, 
 42.50,   5.54E-010, 
 42.60,   5.62E-010, 
 42.70,   7.39E-010, 
 42.80,   1.04E-009, 
 42.90,   1.44E-009, 
 43.00,   1.82E-009, 
 43.10,   2.26E-009, 
 43.20,   2.75E-009, 
 43.30,   3.36E-009, 
 43.40,   4.68E-009, 
 43.50,   1.45E-008, 
 43.60,   5.25E-008, 
 43.70,   8.40E-008, 
 43.80,   1.06E-007, 
 43.90,   1.30E-007, 
 44.00,   1.45E-007, 
 44.10,   1.51E-007, 
 44.20,   1.31E-007, 
 44.30,   9.42E-008, 
 44.40,   2.39E-008, 
 44.50,   8.04E-009, 
 44.60,   4.26E-009, 
 44.70,   2.95E-009, 
 44.80,   2.59E-009, 
 44.90,   2.59E-009, 
 45.00,   2.78E-009, 
